employee_id,first_name,last_name,gender,pronouns,age,birth_date,department,business_unit,job_level,job_title,location,manager_id,base_salary,bonus_eligible,bonus_pct,equity_grant,equity_pct,employment_type,employment_status,hire_date,termination_date,ethnicity,marital_status,education_level,pay_frequency,veteran_status,disability_status,cost_center,fte,exemption_status,high_potential_flag,succession_plan_status,aihr_certified,training_count,last_training_date,promotion_count,last_promotion_date,snapshot_date,tenure_months,performance_rating,current_salary,engagement_score,risk_of_exit_score
49,Alex,Rodriguez,Female,she/her,51,2/28/1970,Engineering,Tech,1,Director,"Seattle, WA",,100123,FALSE,0,FALSE,0,Full-time,Active,2/28/2021,,White,Single,High School,Monthly,FALSE,FALSE,CC1013,1,Non-exempt,TRUE,In plan,FALSE,1,11/28/2021,0,,4/30/2021,2,3.59,100123,63.9199969,0.375729375
50,Robin,Miller,Female,he/him,29,11/30/1991,Marketing,Commercial,1,Senior Analyst,"Seattle, WA",,87966,FALSE,0,FALSE,0,Full-time,Terminated,11/30/2020,9/30/2021,White,Married,PhD,Monthly,FALSE,FALSE,CC1018,1,Non-exempt,FALSE,Not in plan,FALSE,0,,0,,4/30/2021,5,3,87966,57.33700428,0.475586623
51,Riley,Miller,Male,he/him,34,1/30/1986,Product,Tech,1,Director,"San Francisco, CA",,101414,TRUE,0.07,TRUE,0.0721,Full-time,Terminated,1/30/2020,1/30/2022,Black,Single,Associate,Monthly,FALSE,FALSE,CC1005,1,Non-exempt,FALSE,Not in plan,FALSE,0,,0,,4/30/2021,15,3.03,105483,50.52124981,0.497030807
52,Cameron,Garcia,Female,she/her,41,5/30/1979,Engineering,Tech,3,Senior Manager,"Austin, TX",,113577,FALSE,0,TRUE,0.0137,Full-time,Active,5/30/2020,,Asian,Married,Bachelor,Monthly,FALSE,FALSE,CC1018,1,Exempt,FALSE,Not in plan,FALSE,0,,0,,4/30/2021,11,2.31,113577,47.42188204,0.511821504
53,Morgan,Davis,Male,he/him,37,6/30/1982,Marketing,Commercial,1,Manager,"Seattle, WA",,64020,TRUE,0.055,TRUE,0.0516,Part-time,Terminated,6/30/2019,12/30/2023,White,Married,Bachelor,Monthly,FALSE,FALSE,CC1019,1,Non-exempt,FALSE,Not in plan,FALSE,1,8/30/2019,0,,4/30/2021,22,3.08,66651,63.25554211,0.345307629
54,Jordan,Johnson,Female,she/her,25,1/30/1996,Marketing,Commercial,3,Analyst,"San Francisco, CA",,67609,FALSE,0,FALSE,0,Full-time,Terminated,1/30/2021,1/30/2022,Black,Divorced,Bachelor,Monthly,FALSE,FALSE,CC1014,1,Exempt,FALSE,Not in plan,FALSE,0,,0,,4/30/2021,3,3.44,67609,70.22427427,0.292998026
55,Robin,Rodriguez,Male,she/her,34,12/30/1985,Finance,Corporate,1,VP,"Austin, TX",,84202,FALSE,0,TRUE,0.0253,Full-time,Terminated,12/30/2019,4/30/2023,Asian,Married,Bachelor,Monthly,FALSE,FALSE,CC1000,1,Non-exempt,FALSE,Not in plan,FALSE,1,5/30/2020,0,,4/30/2021,16,2.86,87665,57.92436061,0.415595672
57,Jamie,Miller,Male,he/him,41,11/30/1978,Engineering,Tech,2,Senior Analyst,"San Francisco, CA",,107521,FALSE,0,TRUE,0.0311,Contractor,Terminated,11/30/2019,5/30/2021,Black,Married,PhD,Monthly,FALSE,TRUE,CC1017,1,Exempt,FALSE,Not in plan,FALSE,0,,0,,4/30/2021,17,3.17,110850,69.87901365,0.281371052
59,Cameron,Miller,Female,he/him,43,4/30/1978,Finance,Corporate,1,Director,"Austin, TX",,98484,FALSE,0,TRUE,0.0305,Full-time,Terminated,4/30/2021,3/30/2025,White,Married,Bachelor,Monthly,FALSE,FALSE,CC1007,1,Non-exempt,FALSE,Not in plan,TRUE,0,,0,,4/30/2021,0,2.69,98484,54.6545668,0.469041817
60,Morgan,Johnson,Female,he/him,22,5/30/1998,Marketing,Commercial,3,Senior Manager,Remote,,75735,TRUE,0.079,TRUE,0.0683,Part-time,Active,5/30/2020,,Black,Divorced,Associate,Monthly,FALSE,FALSE,CC1001,1,Exempt,FALSE,Not in plan,FALSE,2,1/30/2021,0,,4/30/2021,11,3.4,75735,70.96814326,0.254983358
61,Drew,Brown,Female,he/him,26,1/30/1994,Product,Tech,3,VP,"Seattle, WA",,110694,TRUE,0.135,TRUE,0.0967,Full-time,Active,1/30/2020,,White,Married,High School,Monthly,FALSE,FALSE,CC1008,0.8,Exempt,FALSE,Not in plan,FALSE,0,,0,,4/30/2021,15,3.16,114847,50.07718633,0.581047972
62,Cameron,Garcia,Male,he/him,28,7/30/1992,Product,Tech,2,Senior Analyst,Remote,,119844,FALSE,0,TRUE,0.0482,Full-time,Active,7/30/2020,,Black,Married,Bachelor,Monthly,FALSE,FALSE,CC1004,1,Exempt,FALSE,Not in plan,FALSE,0,,0,,4/30/2021,9,2.58,119844,64.95187658,0.354827774
63,Robin,Rodriguez,Non-binary,he/him,28,3/30/1992,Sales,Commercial,3,Analyst,"San Francisco, CA",,104752,TRUE,0.173,TRUE,0.0404,Contractor,Terminated,3/30/2020,9/30/2021,White,Single,Bachelor,Monthly,FALSE,FALSE,CC1000,1,Exempt,FALSE,Not in plan,FALSE,1,8/30/2020,0,,4/30/2021,13,2.3,108887,52.09049427,0.489311923
64,Morgan,Garcia,Female,she/her,22,5/30/1998,Sales,Commercial,2,VP,"New York, NY",,93366,TRUE,0.199,TRUE,0.04,Full-time,Terminated,5/30/2020,3/30/2023,Hispanic,Divorced,Bachelor,Monthly,FALSE,FALSE,CC1009,1,Exempt,FALSE,Not in plan,FALSE,0,,0,,4/30/2021,11,3.11,93366,62.64067838,0.310553753
65,Cameron,Brown,Male,he/him,28,5/30/1992,HR,Corporate,1,Senior Director,"San Francisco, CA",,80919,FALSE,0,TRUE,0.0843,Full-time,Active,5/30/2020,,White,Single,Bachelor,Monthly,FALSE,FALSE,CC1001,0.5,Non-exempt,FALSE,Not in plan,FALSE,1,9/30/2020,0,,4/30/2021,11,2.62,80919,54.95102275,0.468916328
67,Casey,Williams,Female,she/her,28,3/30/1992,Marketing,Commercial,2,VP,Remote,,82812,FALSE,0,FALSE,0,Full-time,Active,3/30/2020,,Asian,Married,Bachelor,Monthly,FALSE,FALSE,CC1010,1,Exempt,FALSE,Not in plan,FALSE,0,,0,,4/30/2021,13,2.52,86304,51.79893108,0.478348603
68,Jordan,Wilson,Male,she/her,38,10/30/1981,Sales,Commercial,2,Analyst,"San Francisco, CA",,102368,TRUE,0.095,TRUE,0.0723,Full-time,Terminated,10/30/2019,4/30/2024,White,Widowed,Master,Monthly,FALSE,FALSE,CC1019,1,Exempt,FALSE,Not in plan,FALSE,1,1/30/2020,0,,4/30/2021,18,2.51,106493,48.79477167,0.491610607
69,Riley,Davis,Female,she/her,33,10/30/1987,Marketing,Commercial,1,VP,"Austin, TX",,78605,FALSE,0,TRUE,0.0657,Full-time,Active,10/30/2020,,White,Married,Bachelor,Monthly,FALSE,TRUE,CC1016,1,Non-exempt,FALSE,Not in plan,FALSE,1,8/30/2021,0,,4/30/2021,6,2.59,78605,48.83540543,0.520828335
70,Jordan,Brown,Male,she/her,37,1/30/1984,Product,Tech,1,Senior Analyst,Remote,,123265,FALSE,0,TRUE,0.0384,Full-time,Terminated,1/30/2021,8/30/2023,Asian,Single,Master,Monthly,FALSE,FALSE,CC1010,1,Non-exempt,FALSE,Not in plan,FALSE,0,,0,,4/30/2021,3,2.93,123265,66.67383076,0.319850732
71,Jamie,Garcia,Female,he/him,33,12/30/1986,Engineering,Tech,1,VP,"Seattle, WA",,123110,TRUE,0.061,TRUE,0.0961,Full-time,Terminated,12/30/2019,10/30/2022,Asian,Single,Bachelor,Monthly,FALSE,FALSE,CC1018,1,Non-exempt,TRUE,In plan,FALSE,1,6/30/2020,0,,4/30/2021,16,3.54,127255,74.04951332,0.240318494
72,Alex,Garcia,Female,she/her,25,2/28/1995,Engineering,Tech,2,Senior Director,"San Francisco, CA",,113970,FALSE,0,TRUE,0.0906,Full-time,Active,2/29/2020,,Hispanic,Married,Associate,Monthly,FALSE,FALSE,CC1015,0.8,Exempt,FALSE,Not in plan,FALSE,0,,0,,4/30/2021,14,3.22,119312,73.48997626,0.29257501
73,Jordan,Davis,Male,he/him,22,9/30/1998,Engineering,Tech,1,Senior Manager,"San Francisco, CA",,131691,TRUE,0.183,TRUE,0.0357,Full-time,Active,9/30/2020,,White,Married,Master,Monthly,FALSE,FALSE,CC1007,0.8,Non-exempt,FALSE,Not in plan,FALSE,0,,0,,4/30/2021,7,3.06,131691,66.5870983,0.261122839
75,Taylor,Smith,Male,he/him,36,12/30/1984,Sales,Commercial,3,Senior Director,"Seattle, WA",,97351,TRUE,0.103,TRUE,0.0599,Full-time,Active,12/30/2020,,White,Single,Bachelor,Monthly,FALSE,FALSE,CC1019,1,Exempt,FALSE,Not in plan,FALSE,2,4/30/2021,0,,4/30/2021,4,2.5,97351,55.46433631,0.38423703
78,Alex,Miller,Male,she/her,36,6/30/1984,Sales,Commercial,2,Manager,"New York, NY",,88671,TRUE,0.122,TRUE,0.0944,Full-time,Active,6/30/2020,,White,Single,Master,Monthly,FALSE,FALSE,CC1003,0.8,Exempt,FALSE,Not in plan,FALSE,0,,0,,4/30/2021,10,2.68,88671,55.0885129,0.38653725
79,Cameron,Rodriguez,Female,he/him,33,9/30/1986,Sales,Commercial,1,Senior Manager,"Seattle, WA",,88166,FALSE,0,TRUE,0.0486,Full-time,Active,9/30/2019,,Black,Single,Master,Monthly,FALSE,FALSE,CC1010,1,Non-exempt,FALSE,Not in plan,FALSE,0,,0,,4/30/2021,19,2.53,90661,44.49500696,0.557312516
80,Jordan,Garcia,Female,he/him,32,2/29/1988,Product,Tech,3,Senior Director,"Seattle, WA",,120193,FALSE,0,TRUE,0.0689,Full-time,Active,2/29/2020,,White,Married,PhD,Monthly,FALSE,FALSE,CC1008,1,Exempt,FALSE,Not in plan,FALSE,0,,0,,4/30/2021,14,2.38,125621,53.36667574,0.480767294
81,Jamie,Smith,Female,he/him,37,7/30/1982,Engineering,Tech,3,Analyst,"Seattle, WA",,128317,TRUE,0.177,TRUE,0.0227,Full-time,Terminated,7/30/2019,1/30/2023,Black,Single,Master,Monthly,FALSE,FALSE,CC1011,1,Exempt,FALSE,Not in plan,FALSE,1,8/30/2019,0,,4/30/2021,21,3.91,130716,85.76414098,0.181315662
83,Cameron,Rodriguez,Female,she/her,30,9/30/1990,Support,Tech,2,Senior Analyst,"Austin, TX",,73326,FALSE,0,TRUE,0.0652,Full-time,Active,9/30/2020,,White,Single,Bachelor,Monthly,FALSE,TRUE,CC1007,0.8,Exempt,FALSE,Not in plan,FALSE,1,3/30/2021,0,,4/30/2021,7,3.22,73326,61.64792361,0.365933111
84,Robin,Davis,Non-binary,he/him,26,10/30/1993,Product,Tech,2,VP,"San Francisco, CA",,114711,FALSE,0,TRUE,0.0126,Full-time,Terminated,10/30/2019,2/28/2022,Black,Single,PhD,Monthly,FALSE,FALSE,CC1005,1,Exempt,FALSE,Not in plan,FALSE,2,3/30/2020,0,,4/30/2021,18,2.97,118905,53.98949063,0.449937595
